id,price,picture,city,MLS_Num,address,latitude,longitude,Bed,Bath,CarSpace,createdAt,updatedAt
97,509000,http://makcenter.org/wp-content/uploads/2013/10/F5CS9273.jpg,Nolan Hill,C4166379,161 NOLANHURST CR NW,51.176568,-114.174192,3.0,2.1,3.0,,
98,3250000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKDLOG-O0Kk508lHSifOaIYgUfqpwUAbTqi3zcoqjOQToAWt7J,Rideau Park,C4166589,920 RIDEAU RD SW,51.02425,-114.076608,5.0,5.2,5.0,,
99,899900,https://vancouver.ca/images/cov/feature/passive-house-evening-landing.png,Parkhill,C4166667,4516 STANLEY DR SW,51.013695,-114.068266,4.0,2.2,4.0,,
100,1099000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn3KXvCRk_FTqwJRk4AbjtJQugCY_y_zt2oZ1wO5nl0Lz5AOgJ,Richmond,C4166774,2105 19 ST SW,51.035209,-114.106358,3.0,3.1,3.0,,
101,575000,https://photos.zillowstatic.com/p_e/ISa95r26pca9880000000000.jpg,Saddle Ridge,C4167091,21 Saddlestone PA NE,51.128509,-113.925487,4.0,3.1,4.0,,
102,829900,https://photos.zillowstatic.com/p_e/ISaxrg4yothxwh0000000000.jpg,Tuxedo Park,C4167102,217 29 AV NW,51.078956,-114.066527,5.0,3.1,5.0,,
103,329800,https://www.regatta.ro/images/400x400/media/casa-de-vanzare-4-camere-zona-pipera-aviatiei-bucuresti-145-mp-rgt32220-1.jpg,Falconridge,C4167201,227 FALWOOD WY NE,51.097619,-113.938168,3.0,2.0,3.0,,
104,1599900,https://vancouver.ca/images/cov/feature/passive-house-evening-landing.png,Altadore,C4167532,3916 16A ST SW,51.019676,-114.101751,4.0,4.1,4.0,,
105,839900,https://bossip.files.wordpress.com/2016/08/orlando-scandrick-house-2.png,Mount Pleasant,C4167533,605 22 AV NW,51.072137,-114.074423,5.0,3.1,5.0,,
106,839900,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn3KXvCRk_FTqwJRk4AbjtJQugCY_y_zt2oZ1wO5nl0Lz5AOgJ,Mount Pleasant,C4167534,607 22 AV NW,51.072163,-114.074538,5.0,3.1,5.0,,
107,389900,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBYNhfXw5WrG9IC6iSN3GlAUK0YDK5UIC4JTKmHJ2x1cPttFVq,Saddle Ridge,C4167587,13 Saddlestone GA NE,51.128579,-113.924328,3.0,2.1,3.0,,
108,1149900,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR8GQ5i43IPNQOaDo7Gat6k13SVla7wyAkTQDmP4qb66lkIr67_Q,West Hillhurst,C4167645,2016 8 AV NW,51.059986,-114.10686,4.0,3.1,4.0,,
109,1295000,https://www.regatta.ro/images/400x400/media/casa-de-vanzare-4-camere-zona-pipera-aviatiei-bucuresti-145-mp-rgt32220-1.jpg,Sunnyside,C4167657,615 2 AV NW,51.058573,-114.077239,2.0,1.0,2.0,,
110,490000,http://makcenter.org/wp-content/uploads/2013/10/F5CS9273.jpg,Inglewood,C4167824,2213 8 AV SE,51.033208,-114.012931,1.0,1.0,1.0,,
111,490000,https://images.adsttc.com/media/images/59a4/c624/b22e/389d/3e00/02a3/newsletter/MHA.JR_201708_038.jpg?1503970808,Inglewood,C4167825,2207 8 AV SE,51.03298,-114.01228,1.0,1.0,1.0,,
112,999000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKDLOG-O0Kk508lHSifOaIYgUfqpwUAbTqi3zcoqjOQToAWt7J,Discovery Ridge,C4168103,75 DISCOVERY RIDGE CR SW,51.014668,-114.203007,5.0,3.1,5.0,,
